ImageName	KaggleImageId	EncodedPixels	Height	Width	Usage
image1	1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e	3857 6 4368 9 4879 11 5390 13 5901 16 6412 18 6923 20 7435 22 7947 24 8459 25 8971 26 9483 27 9996 26 10509 27 11021 27 11534 27 12047 26 12559 27 13072 26 13584 26 14097 26 14609 26 15122 26 15635 25 16149 23 16662 22 17175 20 17688 19 18202 17 18716 14 19229 12 19743 8	512	640	Public
image1	1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e	132584 8 133094 12 133602 18 134112 22 134622 25 135134 26 135646 26 136157 28 136669 31 137180 33 137692 33 138204 34 138716 37 139228 37 139740 37 140252 37 140764 37 141276 37 141788 37 142300 37 142812 37 143324 37 143837 36 144349 36 144861 36 145373 36 145885 36 146398 35 146910 35 147423 34 147936 33 148449 32 148962 30 149475 29 149988 28 150502 24 151016 21 151530 18 152043 16 152558 12 153072 9 153588 3	512	640	Public
image1	1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e	115023 8 115533 12 116043 16 116553 19 117064 21 117575 22 118085 25 118592 30 119103 31 119615 31 120125 33 120636 34 121148 34 121660 33 122171 34 122682 36 123193 37 123704 38 124216 38 124727 39 125239 39 125750 40 126262 40 126774 40 127286 39 127798 39 128311 37 128823 36 129335 35 129848 33 130362 27 130875 22 131389 18 131903 14 132417 6 132930 2	512	640	Public
image1	1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e	231294 12 231805 18 232313 23 232823 27 233334 29 233845 31 234356 33 234867 35 235378 36 235889 38 236400 40 236912 40 237424 40 237935 41 238447 41 238959 42 239470 43 239982 43 240494 43 241006 43 241518 43 242030 43 242542 43 243054 43 243567 42 244079 42 244591 41 245103 41 245616 40 246128 39 246640 39 247153 37 247665 36 248179 33 248693 30 249207 27 249720 24 250234 21 250748 18 251261 16 251774 14 252287 13 252802 3	512	640	Public
image1	1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e	78717 5 79229 7 79741 8 80253 9 80764 10 81276 11 81788 11 82299 12 82811 12 83323 12 83835 12 84347 12 84859 12 85371 11 85883 10 86395 10 86907 9 87419 8 87932 4	512	640	Public
image1	1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e	91936 14 92444 21 92954 26 93464 30 93975 31 94486 33 94997 36 95508 38 96018 42 96530 43 97041 44 97552 46 98064 47 98576 48 99087 49 99599 49 100110 51 100622 51 101133 53 101645 53 102157 53 102669 53 103181 53 103693 52 104206 51 104718 51 105232 49 105746 47 106259 46 106773 44 107287 42 107800 40 108314 38 108827 37 109341 34 109856 31 110372 26 110886 24 111400 22 111914 19 112427 18 112940 17 113454 13 113968 11	512	640	Public
image1	1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e	129881 2 130389 6 130897 12 131407 15 131917 17 132423 24 132932 28 133440 32 133951 34 134461 36 134973 36 135484 38 135995 39 136504 42 137014 44 137526 44 138037 45 138548 46 139059 47 139570 47 140082 47 140593 48 141103 49 141614 48 142125 48 142637 47 143148 46 143659 47 144171 46 144683 46 145195 45 145707 44 146219 44 146731 42 147243 42 147755 41 148268 38 148780 38 149293 36 149805 35 150319 32 150832 29 151346 26 151859 23 152372 21 152886 18 153399 16 153914 11 154427 8	512	640	Public
image1	1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e	313252 10 313762 14 314272 18 314782 22 315290 30 315802 31 316313 33 316824 35 317335 36 317847 37 318358 39 318869 40 319380 42 319890 45 320402 45 320913 47 321424 48 321936 49 322447 50 322959 50 323470 52 323982 53 324493 55 325005 56 325517 56 326028 57 326540 57 327052 58 327564 58	512	640	Public
image1	1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e	76801 8 77313 9 77825 10 78337 11 78849 11 79361 12 79873 12 80385 13 80897 13 81409 13 81921 14 82433 15 82945 16 83457 17 83969 18 84481 19 84993 20 85505 21 86017 21 86529 22 87041 22 87553 22 88065 22 88577 22 89089 22 89601 23 90113 23 90625 22 91139 19 91654 15 92167 12 92682 4	512	640	Public
image1	1cdbfee1951356e7b0a215073828695fe1ead5f8b1add119b6645d2fdc8d844e	19911 9 20421 14 20932 17 21444 18 21955 20 22467 22 22978 24 23490 25 24001 28 24513 30 25025 31 25536 34 26048 35 26559 36 27071 36 27583 37 28095 37 28607 38 29119 40 29631 41 30142 42 30654 42 31166 42 31678 42 32191 41 32703 42 33215 42 33728 41 34240 41 34752 41 35265 40 35777 40 36289 40 36802 39 37315 37 37828 36 38341 35 38854 34 39367 33 39879 33 40392 32 40905 30 41417 30 41930 28 42443 27 42957 25 43470 23 43983 21 44497 18 45013 11 45528 5	512	640	Public
